"Transactions  for Checking account ...849 as of 08/26/2023 04:21:47 PM ET"
"Date","Type","Check #","Description","Withdrawal (-)","Deposit (+)","RunningBalance"
"12/06/2021","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$234.49","$15,473.56"
"12/06/2021","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$143.94","$15,239.07"
"12/06/2021","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$119.45","$15,095.13"
"12/02/2021","ACH","","HONDA PMT 8004579929 C21335","$466.65","","$14,975.68"
"12/01/2021","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$15,442.33"
"11/30/2021","INTADJUST","","Interest Paid","","$2.69","$15,542.33"
"11/30/2021","TRANSFER","","Funds Transfer to Brokerage -0553","$100,000.00","","$15,539.64"
"11/30/2021","ACH","","GUSTO PAYROLL PAY 834969 211130","","$2,954.07","$115,539.64"
"11/29/2021","ACH","","PAYPAL INST XFER 211126","$19.99","","$112,585.57"
"11/26/2021","TRANSFER","","Funds Transfer from Brokerage -0553","","$10,000.00","$112,605.56"
"11/23/2021","ATM","","WX000887 .4 SANBORN RD TILTON","$400.00","","$102,605.56"
"11/23/2021","ACH","","CARDMEMBER SERV WEB PYMT 211122","$3,259.26","","$103,005.56"
"11/23/2021","ACH","","BK OF AMER MC ONLINE PMT 211123","$2.72","","$106,264.82"
"11/17/2021","ACH","","ALAIN DUVALLE CK POPMONEY 211117","","$400.00","$106,267.54"
"11/15/2021","ACH","","GUSTO PAYROLL PAY 569693 211115","","$2,954.07","$105,867.54"
"11/08/2021","ACH","","CITI CARD ONLINE PAYMENT 211107","$66.88","","$102,913.47"
"11/04/2021","ACH","","BK OF AMER MC ONLINE PMT 211104","$22.72","","$102,980.35"
"11/02/2021","ACH","","HONDA PMT 8004579929 D21305","$466.65","","$103,003.07"
"11/01/2021","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$103,469.72"
"10/29/2021","INTADJUST","","Interest Paid","","$2.39","$103,569.72"
"10/29/2021","ACH","","CITI AUTOPAY PAYMENT 211028","$35.00","","$103,567.33"
"10/29/2021","ACH","","GUSTO PAYROLL PAY 112653 211029","","$3,139.16","$103,602.33"
"10/25/2021","ACH","","BK OF AMER MC ONLINE PMT 211025","$25.00","","$100,463.17"
"10/21/2021","ACH","","CARDMEMBER SERV WEB PYMT 211020","$111.77","","$100,488.17"
"10/15/2021","ACH","","GUSTO PAYROLL PAY 833562 211015","","$3,139.16","$100,599.94"
"10/13/2021","ACH","","CARDMEMBER SERV WEB PYMT 211012","$1,193.80","","$97,460.78"
"10/13/2021","ACH","","BK OF AMER MC ONLINE PMT 211013","$1,258.00","","$98,654.58"
"10/13/2021","ACH","","CITI CARD ONLINE PAYMENT 211012","$558.40","","$99,912.58"
"10/05/2021","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$19.00","$100,470.98"
"10/05/2021","ACH","","BK OF AMER MC ONLINE PMT 211005~ Tran: A","$88.44","","$100,451.98"
"10/04/2021","ACH","","PAYPAL INST XFER 211003","$26.00","","$100,540.42"
"10/04/2021","ACH","","HONDA PMT 8004579929 B21274","$466.65","","$100,566.42"
"10/01/2021","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$101,033.07"
"09/30/2021","INTADJUST","","Interest Paid","","$2.48","$101,133.07"
"09/30/2021","ATMREBATE","","ATM Fee Rebate","","$3.00","$101,130.59"
"09/30/2021","ACH","","GUSTO PAYROLL PAY 529346 210930","","$3,139.17","$101,127.59"
"09/29/2021","ACH","","CITI AUTOPAY PAYMENT 210928","$35.00","","$97,988.42"
"09/28/2021","ACH","","CARDMEMBER SERV WEB PYMT 210927","$2,155.01","","$98,023.42"
"09/24/2021","ACH","","BK OF AMER MC ONLINE PMT 210924","$73.20","","$100,178.43"
"09/23/2021","ACH","","BIOBOT ANALYTICS EXPENSIFY 000000","","$62.98","$100,251.63"
"09/23/2021","ACH","","BK OF AMER MC ONLINE PMT 210923","$25.00","","$100,188.65"
"09/16/2021","ACH","","GUSTO PAYROLL PAY 327784 210916","","$3,139.15","$100,213.65"
"09/09/2021","ACH","","CITI CARD ONLINE PAYMENT 210908","$243.41","","$97,074.50"
"09/07/2021","ACH","","VENMO PAYMENT 210904","$27.00","","$97,317.91"
"09/05/2021","ATM","","MEMBERS ADVANTA 614 N H WHITE RIV JCT","$103.00","","$97,344.91"
"09/03/2021","CHECK","131","Check Paid #131","$30,000.00","","$97,447.91"
"09/02/2021","ACH","","HONDA PMT 8004579929 B21244","$466.65","","$127,447.91"
"09/01/2021","TRANSFER","","Funds Transfer to Brokerage -0553","$100.00","","$127,914.56"
"08/31/2021","INTADJUST","","Interest Paid","","$3.31","$128,014.56"
"08/31/2021","ACH","","CITI AUTOPAY PAYMENT 210830","$35.00","","$128,011.25"
"08/31/2021","ACH","","GUSTO PAYROLL PAY 023954 210831","","$3,139.16","$128,046.25"
"08/31/2021","ACH","","VENMO PAYMENT 210830","$21.09","","$124,907.09"
